Name des Begünstigten,Bezeichnung des Vorhabens,Jahr Bewilligung ,Jahr Projektende,Gewährte Beträge,bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen",Wege in die Stadt,2009,2010,,"6407,48"
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen",Deutschkurs Stufe II für Mütter mit Kinderbetreuung,2010,2011,,"9216,1"
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen","Computergrundkurs für junge Mütter, mit Kinderbetreuung",2010,2011,,820
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen",Deutschkurse für Mütter,2012,2012,,"8553,64"
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen","Orientierungskurs: Deutsch und gesellschaftliches
Grundwissen für Migrantinnen.",2008,2009,,"2285,97"
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen",Bewerbungstraining für jugendliche Migrantinnen,2008,2009,,"3433,49"
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen",Deutschkurs für Mütter Grundschule Paul-Singer-Straße,2013,2013,"5506,6",
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen",Deutschkurs für Mütter KiTa Heilig-Geist-Kirche,2013,2013,"7643,87",
"Bremer Volkshochschule
Eigenbetrieb der Stadtgemeinde Bremen","Deutsch lernen für Familie und Beruf, Kurs für Mütter mit
Kinderbetreuung",2011,2012,,"9823,03"
"Bremerhavener Beschäftigungsgesellschaft Unterweser
mbH",MiLo bbu FAV,2012,2013,"72553,39",
"Bremerhavener Beschäftigungsgesellschaft Unterweser
mbH",BBU GT,2008,2010,,"2349077,83"
"Bremerhavener Beschäftigungsgesellschaft Unterweser
mbH",Fischereihafen,2008,2010,,"3038595,66"
"Bremerhavener Beschäftigungsgesellschaft Unterweser
mbH",Sprungbrett,2008,2011,,"538591,28"
"Bremerhavener Beschäftigungsgesellschaft Unterweser
mbH","MOP. Bremerhavener Beschäftigungsgesellschaft
Unterweser mbH (BBU), ""Sozialkaufhaus FUNDUS II"",
Modellprojekt geförderte Beschäftigung ab 09/2012",2012,2014,"276160,96",
"Bremerhavener Beschäftigungsgesellschaft Unterweser
mbH","MAE ""APRIL"" BBU GmbH",2011,2012,,"506280,18"
"Bremerhavener Beschäftigungsgesellschaft Unterweser
mbH","FOR. MAE. Bremerhavenver Beschäftigungsgesellschaft
Unterweser mbH (BBU), ""APRIL"", geförderte
Beschäftigung ab 04/2012",2012,2014,878570,
"Bremerhavener Beschäftigungsgesellschaft Unterweser
mbH","FOR. SVB.O. Bremerhavener Beschäftigungsgesellschaft
Unterweser mbH (BBU), ""Pro Tourismus"", geförderte
Beschäftigung ab 04/2012",2012,2014,"1210429,61",
"Bremerhavener Beschäftigungsgesellschaft Unterweser
mbH","SVB.O. Bremerhavener Beschäftigungsgesellschaft
Unterweser mbH (BBU), ""Pro Handwerk"", geförderte
Beschäftigung",2011,2012,,"252947,54"
"Bremerhavener Beschäftigungsgesellschaft Unterweser
mbH",SVB.O  Pro Tourismus,2011,2012,,"385615,06"
"Bremerhavener Beschäftigungsgesellschaft Unterweser
mbH","MAE. Fundus, BBU GmbH",2011,2012,,"109038,2"
Bremische Evangelische Kirche,Offene Beratung,2008,2010,,"178142,7"
Bremische Evangelische Kirche,"RAZ- Ran an die Zukunft- Berufsorientierung und
Lebensplanung für Jugendliche im Übergang Schule/ Beruf",2008,2010,,"123483,06"
Bremische Evangelische Kirche,Offene Beratung,2011,2012,116000,
Bremische Evangelische Kirche,Offene Beratung,2013,2014,86606,
BUB - Bremer Umweltberatung e.V.,Schulung von Umweltlotsen in Lüssum,2013,2013,"8429,5",
BUB - Bremer Umweltberatung e.V.,Schulung von Umweltlotsen,2012,2012,"7795,1",
Bürger- und Sozialzentrum Huchting e.V.,Deutschkurs für Frauen,2008,2009,,3084
Bürgerhaus Oslebshausen e.V.,Tauchprojekt 2009,2009,2009,,3895
Bürgerhaus Oslebshausen e.V.,Tauchprojekt zur Gewaltprävention,2008,2008,,7680
Bürgerhaus Oslebshausen e.V.,Folge-Tauschprojekt Gröpelingen 2010,2010,2010,,3885
Bürgerzentrum Neue Vahr,Integration arbeitsloser Menschen,2008,2009,,"2410,59"
"Caritasverband für Bremerhaven
und den Landkreis Cuxhaven",Caribiff / Berufliche Integration für Frauen,2008,2009,,"8403,02"
"Caritasverband für Bremerhaven
und den Landkreis Cuxhaven","Auf die Plätze, fertig, los! Frauen gehen an den Start!",2009,2010,,"5412,07"
Caritasverband für das Dekanat Bremen Nord e.V.,"PC-Kurs für jugendliche und junge erwachsene
Migranten/innen",2009,2010,,"3967,47"
Caritasverband für das Dekanat Bremen Nord e.V.,"Schulvermeiderprojekt/Elternarbeit mit Roma-Familien in
Bremen-Nord",2008,2009,,"19288,58"
Caritasverband für das Dekanat Bremen Nord e.V.,"PC-Kurs für jugendliche und junge erwachsene Migranten/-
innen",2010,2010,,"3677,88"
Claudia Maurer,Neustart für Powerfrauen,2008,2009,,10000
comeback gmbh,Stärkung der Lernkompetenzen,2010,2011,,9310
comeback gmbh,"SVB.V. Comeback GmbH, ""AGH-E Netzwerk West"",
geförderte Beschäftigung",2011,2011,,"144265,15"
comeback gmbh,Stärkung der Lernkompetenzen,2011,2012,,"9308,9"
comeback gmbh,Berufsorientierung für Jugendliche und junge Erwachsene,2008,2009,,"6444,91"
comeback gmbh,Kreativwerkstatt,2013,2014,10000,
comeback gmbh,"Injobs-ESF Comeback U65R11, geförderte Beschäftigung",2011,2011,,"161394,18"
comeback gmbh,Berufsorientierung für Jugendliche und junge Erwachsene,2009,2010,,"8989,58"
comeback gmbh,Stärkung der Lernkompetenzen von Jugendlichen,2012,2013,9310,
comeback gmbh,"Bremen produktiv - integrativ Comeback GmbH / Wilder
Westen (integrativ)",2008,2010,,"461955,94"
comeback gmbh,"Injobs-ESF MAE.U65R comeback gmbh, ""Regionales
Netzwerk West"", geförderte Beschäftigung ab 26.03.2012",2012,2012,"149929,33",
comeback gmbh,Bremen produktiv - integrativ  Comeback / Café Abseits,2009,2010,,"125570,74"
comeback gmbh,Schulung elterlicher Kompetenz,2008,2009,,"2533,55"
Competence-Pool e.V.,Neue Wege in Arbeit finden,2008,2009,,"8100,87"
Creation Sitterz,Ausbildungsverhältnis,2013,2014,3000,
Dachdeckerei Cummerow,Ausbildungsverhältnis,2013,2014,4000,
Das Bremer Brötchen,Ausbildungsverhältnis,2012,2013,3000,
DEKRA Akademie GmbH,Perspektive Logistik-Arbeitslose,2008,2010,,"350552,22"
DEKRA Akademie GmbH,Perspektive Logistik-Beschäftigte,2008,2010,,"52595,24"
Der Eismacher,Ausbildungsbeginn,2013,2014,3000,
"Der Senator für Wirtschaft, Arbeit und Häfen
Abteilung 2
Referat bba",Weiter mit Bildung und Beratung - Weiterbildungsberatung,2012,2014,"479443,1",
"Deutscher Kinderschutzbund
LV Bremen e.V.",familiennetz bremen bremerhaven,2008,2010,"553894,78",
Deutsches Rotes Kreuz - Kreisverband Bremen e. V.,Be-SSer 2010,2010,2011,,"5845,56"
Deutsches Rotes Kreuz - Kreisverband Bremen e. V.,"""Integration durch Teilhabe"" Lotsendienst für Romafamilien",2010,2010,,"4917,03"
Deutsches Rotes Kreuz - Kreisverband Bremen e. V.,"Anglunipe - Integrationsbegleitung und soziale Betreuung
von Roma-Frauen und ihren Familien (Schwellenängste
überwinden lernen)",2009,2010,,"9672,35"
Deutsches Rotes Kreuz - Kreisverband Bremen e. V.,A-BeLeM,2008,2011,"704024,46",
Deutsches Rotes Kreuz - Kreisverband Bremen e. V.,B-Spagat,2008,2011,"221911,89",
Deutsches Rotes Kreuz - Kreisverband Bremen e. V.,ProMotion,2008,2011,"1753148,88",
Deutsches Rotes Kreuz - Kreisverband Bremen e. V.,Deutschsprachkurs für Migrantinnen,2008,2009,,"1931,63"
Deutsches Rotes Kreuz - Kreisverband Bremen e. V.,KidZ 2009,2009,2011,"516151,4",
Deutsches Rotes Kreuz - Kreisverband Bremen e. V.,JUWEL,2011,2012,"1241984,24",
Deutsches Rotes Kreuz - Kreisverband Bremen e. V.,Roma in Huckelriede - Integrationsbaustein Deutschkurs,2010,2011,,"8148,25"
Deutsches Rotes Kreuz - Kreisverband Bremen e. V.,Aktionsprogramm Kamphofer Damm / Blexer Straße,2008,2009,,"3539,58"
Deutsches Rotes Kreuz - Kreisverband Bremen e. V.,Quartierszentrum Niedersachsendamm,2008,2009,,"5174,28"
Deutsches Rotes Kreuz - Kreisverband Bremen e. V.,"BE-Ser, Bremer Albert-Einstein-Schule-Soziales
Kompetenztraining und Sport erleben",2009,2009,,"7715,06"
Die Brille am Neumarkt GmbH,Ausbildungsverhältnis,2012,2013,3000,
"Die Firma, Hartwig Wennemer GmbH",Ausbildungsverhältnis,2013,2014,3000,
"Diyanet Türkisch Islam Kültür Dernegi Bilal - i Habesi
Moschee e. V.",Nachhilfe DITIB,2013,2014,"9997,53",
"Diyanet Türkisch Islam Kültür Dernegi Bilal - i Habesi
Moschee e. V.",Nachhilfeprojekt,2011,2012,10000,
"Diyanet Türkisch Islam Kültür Dernegi Bilal - i Habesi
Moschee e. V.",Nachhilfeprojekt,2012,2013,9971,
"Diyanet Türkisch Islam Kültür Dernegi Bilal - i Habesi
Moschee e. V.",Nachhilfeprojekt,2010,2011,,9460
Dorothea Buchmann-Lieberg,Berufsperspektiven,2013,2014,6758,
Dorothea Sander,Alles Paletti,2013,2014,10000,
Dorothea Sander,Backkunst- Ein Backbuch,2013,2013,10000,
Dorothea Sander,Druck - mal anders,2012,2012,,"9977,48"
Dorothea Sander,Wirklichkeit verändern,2012,2013,,"9963,87"
Dr. Burkhard Hergesell,Erzählte und dokumentierte Familiengeschichte,2010,2011,,"9149,3"
Dr. Burkhard Hergesell,Integrationsprojekt Spätaussiedler,2011,2012,,"3336,6"
Druckhaus Humburg GmbH & Co. KG,Ausbildungsverhältnis,2013,2014,4000,
E.I.S. Electronics GmbH,Ausbildungsverhältnis,2013,2014,5000,
ebn - Expertinnen Beratungsnetz Bremen e.V.,Cross-Mentoring,2008,2010,,"82461,18"
ebn - Expertinnen Beratungsnetz Bremen e.V.,Mentoring für Frauen,2008,2010,,"104416,39"
Ein Haus für unsere Freundschaft e.V.,Interkulturelle Nachbarschaften,2008,2009,,"5752,15"
Ein Haus für unsere Freundschaft e.V.,Hemelinger Allmende,2008,2008,,"5261,39"
Ein Haus für unsere Freundschaft e.V.,Handwerken und Wirtschaften – Projekt für Migrantinnen,2010,2010,,"5001,05"
Ein Haus für unsere Freundschaft e.V.,"Beratungsstelle für Migranten und ohne
Migrantionshintergrund",2010,2010,,"10766,97"
Ein Haus für unsere Freundschaft e.V.,"Interkulturelle Frauenkalender - ""Hemelinger Allmende
2011""",2010,2010,,"9279,37"
Ein Haus für unsere Freundschaft e.V.,EDV Kurs für Frauen,2010,2010,,3613
Ein Haus für unsere Freundschaft e.V.,Hemelinger Allmende 2010,2009,2009,,"6973,7"
Ein Haus für unsere Freundschaft e.V.,Alphabetisierungskurs für Migrantinen,2009,2009,,"3367,5"
Ein Haus für unsere Freundschaft e.V.,Bewerbungshilfe für Jugendliche,2013,2014,6134,
Ein Haus für unsere Freundschaft e.V.,Videoarbeit mit Jugendlichen,2010,2010,,1500
Ein Haus für unsere Freundschaft e.V.,"Druck Interkulturelle Frauen Kalender ""Hemelinger
Allmende"" 2010",2009,2009,,"2115,9"
Ein Haus für unsere Freundschaft e.V.,Niedrigschwelliger Alphabetisierungskurs für Migrantinen,2013,2014,8902,
Ein Haus für unsere Freundschaft e.V.,Mobiles Tonstudio on Tour,2013,2014,4260,
"Elektro Heinen
Inh. Heiko Heinen",Ausbildungsverhältnis,2012,2013,4000,
"Elektro Heinen
Inh. Heiko Heinen",Ausbildungsverhältnis,2013,2014,3000,
Elektro Oelkers GmbH & Co. KG,Ausbildungsverhältnis,2011,2012,,3000
elektro SIEMER GmbH,Ausbildungsverhältnis,2013,2014,4000,
"ELITERA Personalvermittlung
Inh. Nicole Delbrück",Ausbildungsverhältnis,2012,2013,,3000
"EPSYMO - Elternverein für PSYchoMotorische
Entwicklungsförderung e. V.",Topfit mit JobFit,2012,2013,10000,
"EPSYMO - Elternverein für PSYchoMotorische
Entwicklungsförderung e. V.","""Windeln, Schule, Haushaltsbuch""",2009,2009,,5000
"EPSYMO - Elternverein für PSYchoMotorische
Entwicklungsförderung e. V.","""Meine Zukunft im Blick""",2013,2014,10000,
"EPSYMO - Elternverein für PSYchoMotorische
Entwicklungsförderung e. V.","""Jetzt nicht!""",2008,2009,,"7312,25"
Ernst-Wilhelm Schmidt,Schulung für Bewerbungen,2011,2011,,2260
Ernst-Wilhelm Schmidt,Schulung für Bewerbungen,2010,2010,,2380
Ernst-Wilhelm Schmidt,"Existenzgründung als mögliche Alternative zum
Arbeitsplatz",2011,2011,,899
Erstes Lesumer Fernsehen E.L.F. e. V.,SchülerInnenfirma,2009,2010,,"8024,46"
"Ev.-luth. Christopherus Gemeinde
Pastor Peters","""Ich will was werden!"" - Coaching zur
Ausbildungsplatzsuche",2008,2009,,7419
"Ev.-luth. Christopherus Gemeinde
Pastor Peters","""Ich will was werden!"" - Coaching zur
Ausbildungsplatzsuche",2008,2009,,"9933,48"
"Ev.-luth. Christopherus Gemeinde
Pastor Peters",startup-plus,2009,2010,,"9571,92"
"Ev.-luth. Christopherus Gemeinde
Pastor Peters",Los geht`s,2012,2012,,"1993,78"
"Ev.-luth. Christopherus Gemeinde
Pastor Peters",LOS geht`s!,2012,2012,,"1986,81"
Ev.-luth. Kirchengemeinde Bremerhaven,Nähkurs,2013,2014,5200,
eventpro GmbH,Ausbildungsverhältnis,2012,2013,4000,
faden e.V.,MiLo faden FAV,2012,2013,"34640,78",
faden e.V.,Grünhöfe - neue Impulse für mehr Miteinander im Stadtteil,2008,2010,,"1946859,51"
faden e.V.,"Bremerhaven-Lehe - Unterstützung für einen Stadtteil im
Wandel",2008,2010,,"2711413,32"
faden e.V.,"""Jugend in Arbeit""",2009,2010,,"457726,01"
faden e.V.,Ressourcen bündeln - Potentiale nutzen,2009,2010,,"1191938,89"
faden e.V.,"MAE STadtteilarbeit und gemeinwesenorientierte
Dienstleistungen in Bremerhaven",2011,2012,,"512488,35"
faden e.V.,MOP  Passform - die Texilwerkstatt,2012,2014,"163041,53",
faden e.V.,MoP Chance 25/11,2011,2012,"256363,26",
faden e.V.,"""Integration fördern - Perspektiven schaffen"", geförderte
Beschäftigung ab 04/2012",2012,2014,"1398214,86",
faden e.V.,MAE  Kurswechsel,2011,2012,,"73137,44"
faden e.V.,SVB.O.  Stadtteile stärken,2011,2012,,"621458,75"
faden e.V.,"MAE. Langzeitarbeitslosigkeit bekämpfen und kommunale
Strukturen stärken",2011,2011,,"388085,18"
familie heute gemeinnützige Gesellschaft mbH,familiennetz bremen/ bremerhaven,2011,2013,"275416,17",
Fleischwarenhandel Möchel,Ausbildungsverhältnis,2013,2014,3000,
Flying Pizza Hancke GmbH,Ausbildungsverhältnis,2013,2014,4000,
Flying Pizza Hancke GmbH,Ausbildungsverhältnis,2013,2014,4000,
Flyura Zakirova,Strickerei-Experiment,2012,2013,,10000
Flyura Zakirova,Integration durch Handarbeit,2013,2014,10000,
Förder- und Freundeskreis der Heinrich-Heine-Schule e.V.,Direkter Übergang von der Schule in die duale Ausbildung,2011,2011,,"4378,39"
Förderwerk Bremen GmbH,"FOR. SVB.O Förderwerk Bremen GmbH, ""Concierge"",
geförderte Beschäftigung ab 04/2012",2012,2014,2136036,
Förderwerk Bremen GmbH,"""Nachbarschaftshilfe in Bremen und Aufsuchende
Altenarbeit in Bremen-Blumenthal und Vahr aktiv und
kooperativ"", geförderte Beschäftigung ab 04/2012",2012,2012,160182,
Förderwerk Bremen GmbH,"CHANCE III, sozial-integratives Modul",2008,2010,,0
Förderwerk Bremen GmbH,"Injobs-ESF Förderwerk U65T11 NSI, geförderte
Beschäftigung",2011,2011,,75060
Förderwerk Bremen GmbH,"Injobs-ESF Förderwerk U65T11 Netzwerk Sport,
geförderte Beschäftigung",2011,2011,,"46686,56"
Förderwerk Bremen GmbH,"Bremen produktiv - integrativ Förderwerk / BrauchBar -
Nachbarschaftshilfeprojekt im Ortsteil Kattenturm,
Kattenturmer Kooperationsprojekt Kattenturmer-Mitte.",2008,2009,,"57719,37"
Förderwerk Bremen GmbH,Vorbereitung der Gründung eines Integrationsbetriebes,2013,2014,"49720,94",
Förderwerk Bremen GmbH,"Bremen produktiv - integrativ Förderwerk / Hauptberufliche
Nachbarschaftshilfe und BewohnerIntreffpunkt Blumenthal",2008,2010,,"3088048,78"
Förderwerk Bremen GmbH,"Bremen produktiv - integrativ Förderwerk / Huchtinger
Knoten",2008,2010,,"751880,57"
Förderwerk Bremen GmbH,Bremen produktiv - integrativ Förderwerk / Concierge,2008,2010,,"2883687,3"
Förderwerk Bremen GmbH,"Bremen produktiv-integrativ/Treffpunkt Cafe u
Nachbarschaftshilfe im Familien- u Quartierszentrum Neue
Vahr-Nord - Maulwürfe / Aktiv für die Vahr",2008,2010,"611276,81",
Förderwerk Bremen GmbH,MiLo Förderwerk Bremen FAV,2012,2014,"151476,56",
Förderwerk Bremen GmbH,"SVB.O. Förderwerk Bremen GmbH, ""Concierge"",
geförderte Beschäftigung",2011,2012,,"1156940,33"
Förderwerk Bremen GmbH,"""Nachbarschaftshilfe Bremen und Aufsuchende Altenarbeit
in Bremen-Blumenthal"", geförderte Beschäftigung.",2011,2012,,"915085,15"
Förderwerk Bremen GmbH,"SVB.V. Förderwerk Bremen GmbH, ""Projekt Huchtinger
Knoten"", geförderte Beschäftigung",2011,2012,328062,
Förderwerk Bremen GmbH,"SVB.Q. Förderwerk Bremen GmbH, ""Vahr aktiv und
kooperativ"", geförderte Beschäftigung",2011,2012,,"358970,87"
Förderwerk Bremerhaven GmbH,"MOP Feststellung von Integrationschancen bei
schwerbehinderten langzeitarbeitslosen Menschen",2012,2014,"335435,55",
Förderwerk Bremerhaven GmbH,"Bewegung in der Stadt - gegen Arbeitslosigkeit in
Bremerhaven",2008,2010,"3532701,31",
Förderwerk Bremerhaven GmbH,"FOR. MAE. Förderwerk Bremerhaven GmbH,
""Beschäftigung für Bewegung"", geförderte Beschäftigung
ab 04/2012",2012,2014,332910,
Förderwerk Bremerhaven GmbH,"SVB.O. Förderwerk Bremerhaven GmbH, ""JobWerk-
StadtRaum, Vielfalt im Quartier"", geförderte Beschäftigung",2011,2012,,"577801,95"
Förderwerk Bremerhaven GmbH,"MAE. Förderwerk Bremerhaven GmbH, ""JobWerk-
StadtRaum, Qualifizierung im Quartier"", geförderte
Beschäftigung",2011,2012,157500,
Förderwerk Bremerhaven GmbH,FahrRat,2011,2011,,"5041,57"
"Förderwerk e. V.
Verein zur Förderung von Bildung, Ausbildung und
Beschäftigung","""Regionales Netzwerk Projekt Huchtinger Knoten"",
geförderte Beschäftigung ab 26.03.2012",2012,2012,"26074,67",
"Förderwerk e. V.
Verein zur Förderung von Bildung, Ausbildung und
Beschäftigung","""Regionales Netzwerk - Huchtinger Knoten""; geförderte
Beschäftigung ab 02/2013",2013,2014,144432,
Frauen in Arbeit und Wirtschaft e.V.,Zentrale Frauenberatung,2012,2014,"647225,03",
Frauen in Arbeit und Wirtschaft e.V.,ebn-mentoring,2012,2013,"84519,48",
Frauen und Gesundheit e.V.,FIT Migration,2010,2010,,"1019,8"
Frauen und Gesundheit e.V.,Alphabetisierung für Frauen Stufe III,2013,2014,"9532,5",
Frauen und Gesundheit e.V.,Alphabetisierung für Frauen Stufe I b,2012,2012,,4110
Frauen und Gesundheit e.V.,Alphabetisierungskurs für Frauen II,2010,2010,,"9569,29"
Frauen und Gesundheit e.V.,Alphabetisierungskurs,2008,2008,,3839
Frauen und Gesundheit e.V.,Alphabetisierung für Frauen Stufe II,2012,2013,8374,
Frauen und Gesundheit e.V.,Alphabetisierung für zugewanderte Frauen Stufe I,2011,2012,,5037
Frauen und Gesundheit e.V.,Alphabetisierungskurs für Frauen mit Vorkenntnissen,2009,2009,,3979
"Frauen-, Erwerbs- und Ausbildungsverein Bremen e.V.","Lernen, Integration und Arbeit für Frauen (LIA)",2008,2010,,"1060489,07"
Fraueninitiative quirl e.V.,"SVB.Q. frauenbetriebe quirl e. V., ""Q-NSTSTÜCK -
Vereinbarkeit von Familie und Beruf"", geförderte
Beschäftigung.",2011,2012,,"242046,47"
Fraueninitiative quirl e.V.,"SVB.Q. frauenbetriebe quirl e. V.; ""quirl 4 deliKatt -
Gesunde Essensversorgung für Menschen in Kattenturm"",
geförderte Beschäftigung.",2011,2012,"311590,56",
Fraueninitiative quirl e.V.,"SVB.Q frauenbetriebe quirl e. V., ""Stadtteil (in) balance"",
geförderte Beschäftigung.",2011,2012,,"251844,65"
Fraueninitiative quirl e.V.,"""Arbeiten, Lernen, Beruflich Orientieren-Chancen für
langzeitarbeitsl Frauen u Migrantinnen am Arbeitsmarkt
nutzen ""ALBO"", geförderte Beschäftigung",2012,2013,"102195,46",
Fraueninitiative quirl e.V.,"""Arbeiten, Lernen, Beruflich Orientieren-Chancen für
langzeitarbeitsl Frauen u Migrantinnen am Arbeitsmarkt
nutzen ""ALBO"", geförderte Beschäftigung",2012,2013,"187110,82",
Fraueninitiative quirl e.V.,"Injobs-ESF Quirl U65T11 Sprache, geförderte
Beschäftigung",2011,2011,52920,
Fraueninitiative quirl e.V.,"Bremen produktiv - integrativ frauenbetriebe quirl / Q-
NSTSTÜCK",2008,2010,,"268207,96"
Fraueninitiative quirl e.V.,"Bremen produktiv - integrativ frauenbetriebe quirl / mac
quirl 4 kids",2008,2010,,"1452649,39"
Fraueninitiative quirl e.V.,"Bremen produktiv - integrativ frauenbetriebe quirl / quirlig
im quartier",2008,2010,,"696811,08"
Fraueninitiative quirl e.V.,"SVB.Q. frauenbetriebe quirl e. V.,  geförderte
Beschäftigung ab 04/2012, Zusammenfassung: ""Q-
NSTSTÜCK, deliKatt, quirlig im quartier, Balance""",2012,2012,66338,
Frese und Salbert Elektro- und Gebäudetechnik GmbH,Ausbildungsverhältnis,2013,2014,4000,
Frese und Salbert Elektro- und Gebäudetechnik GmbH,Ausbildungsverhältnis,2013,2014,4000,
Frese und Salbert Elektro- und Gebäudetechnik GmbH,Ausbildungsverhältnis,2013,2013,4000,
Freundeskeis Haus der Familie e.V.,Elternbeteiligung in der Grundschule,2010,2011,,"5716,47"
Freundeskeis Haus der Familie e.V.,Deutschkurs für Jugendliche,2009,2010,,"5766,28"
Freundeskeis Haus der Familie e.V.,Aufbau eines Beratungsnetzes,2009,2009,,"1553,69"
Freundeskeis Haus der Familie e.V.,Kommunikation in Konflikten,2010,2011,,"8747,31"
Freundeskeis Haus der Familie e.V.,Deutschkurs für Jugendliche,2010,2011,,"5202,63"
Freundeskeis Haus der Familie e.V.,Streitschule,2009,2010,,"9363,22"
Freundeskeis Haus der Familie e.V.,PC-Kurs für Frauen,2009,2010,,"2301,58"
Freundeskeis Haus der Familie e.V.,Gesellschaftliche und kulturelle Teilhabe,2011,2012,,"6233,05"
Freundeskeis Haus der Familie e.V.,Grambker Lernprofis,2011,2012,,"4974,46"
Freundeskeis Haus der Familie e.V.,Selbstbewusst kommunizieren,2008,2009,,"9724,78"
Freundeskeis Haus der Familie e.V.,Selbstbewusstes Auftreten,2012,2012,,"9175,42"
Freundeskeis Haus der Familie e.V.,Gesellschaftliche und kulturellle Teilhabe,2012,2013,"5028,97",
Freundeskeis Haus der Familie e.V.,Streitschule,2011,2011,,"7964,13"
Freundeskeis Haus der Familie e.V.,Schlüsselkompetenzen,2013,2014,8346,
Freundeskeis Haus der Familie e.V.,Info-Büro-Grambke,2010,2011,,"4443,42"
Freundeskeis Haus der Familie e.V.,Streitschule Arsten,2012,2013,,"8025,47"
Freundeskeis Haus der Familie e.V.,Frauen finden ihren Weg in den Beruf,2009,2009,,"7665,99"
Freundeskeis Haus der Familie e.V.,Streitschule II,2010,2010,,"4866,51"
Freundeskeis Haus der Familie e.V.,Lebensweltbezogene Sprachvermittlung,2008,2009,,"2827,88"
Friedehorst gGmbh,B-Schulverbund der Altenpflegeschulen Bremen,2008,2011,"535578,69",
"Friseur ""manuell""",Ausbildungsverhältnis,2012,2013,3000,
Gabriele Roffmann,Chance EDV,2009,2010,,"9050,54"
Gabriele Roffmann,Erfolgreich bewerben,2011,2012,,"8944,93"
Gabriele Roffmann,Bewerbungswerkstatt,2011,2011,,"9412,18"
Geo Gleistein & Sohn GmbH,Ausbildungsverhältnis,2013,2014,5000,
Georg Künzel Schlosserei und Automatikservice,Ausbildungsverhältnis,2011,2012,,3000
Glade Autoservice,Ausbildungsverhältnis,2012,2013,3000,
"GPI Gesellschaft für Projektentwicklung und Innovation
GmbH",BRELAG II-Beschäftigte,2008,2010,,"859322,92"
"GPI Gesellschaft für Projektentwicklung und Innovation
GmbH",Stress dem Stress,2011,2014,"790970,4",
GRI - Gröpelinger Recycling Initiative e.V.,"FOR. SVB.O Gröpelinger Recycling Initiative e. V.,
""Sozialökologisches Handeln für Bremen"", geförderte
Beschäftigung ab 04/2012",2012,2014,"1466504,34",
GRI - Gröpelinger Recycling Initiative e.V.,MiLo GRI FAV,2013,2014,"24483,77",
GRI - Gröpelinger Recycling Initiative e.V.,"SVB.Q. Gröpelinger Recycling Initiative e. V., ""Hemelingen:
Sozial und ökologisch Handeln"", geförderte Beschäftigung.",2011,2012,,"210904,22"
GRI - Gröpelinger Recycling Initiative e.V.,"SVB.Q Gröpelinger Recycling Initiative e. V., ""Gröpelingen:
Sozial und ökologisch Handeln"", geförderte Beschäftigung.",2011,2012,,"221754,48"
GRI - Gröpelinger Recycling Initiative e.V.,"SVB.O Gröpelinger Recycling Initiative e. V.,
""Sozialökologisches Handeln für Bremen"", geförderte
Beschäftigung",2011,2012,,"435959,49"
