Name des Begünstigten,Bezeichnung des Vorhabens,Jahr Bewilligung ,Jahr Projektende,Gewährte Beträge,bei Abschluss des Vorhabens gezahlte Gesamtbeträge
GRI - Gröpelinger Recycling Initiative e.V.,"SVB.Q. Gröpelinger Recycling Initiative e. V.,
""Kattenturm/Huckelriede: Sozial und ökologisch Handeln"",
geförderte Beschäftigung.",2011,2012,,"206887,71"
GRI - Gröpelinger Recycling Initiative e.V.,"Injobs-ESF GRI U65SI11, geförderte Beschäftigung",2011,2011,,"93141,73"
GRI - Gröpelinger Recycling Initiative e.V.,"Bremen produktiv - integrativ Gröpelinger Recycling
Initiative / Gröpelingen produktiv",2008,2010,"912140,92",
GRI - Gröpelinger Recycling Initiative e.V.,"Bremen produktiv - integrativ Gröpelinger Recycling
Initiative / Kooperationsprojekt Kattenturmer-Mitte",2008,2010,"719601,32",
Gröpelinger Marketing e.V.,Berufseinstieg Gröpelingen,2012,2012,,7950
Gröpelinger Marketing e.V.,Berufseinstieg Gröpelingen 2013,2013,2013,8540,
"HandWERK gGmbH
Das Kompetenzzentrum der Handwerkskammer Bremen","Qualifizierung und Kompetenzentwicklung im Handwerk
zum Einsatz innovativer Technologien zur CO2 -Reduktion
im Gebäudebereich (KomET)",2008,2010,"300529,75",
"HandWERK gGmbH
Das Kompetenzzentrum der Handwerkskammer Bremen","Kompetenzerwerb zur Betriebsübernahme/ -übergabe
durch Qualifizierung im HandWERK",2008,2009,,"51430,15"
"HandWERK gGmbH
Das Kompetenzzentrum der Handwerkskammer Bremen","InTAKt - Innovative Techniken und alternative Antriebe in
der Kraftfahrzeugtechnik",2008,2010,"364283,77",
"HandWERK gGmbH
Das Kompetenzzentrum der Handwerkskammer Bremen","InTAKt - Innovative Techniken und alternative Antriebe in
der Kraftfahrzeugtechnik",2008,2010,"69613,8",
"HandWERK gGmbH
Das Kompetenzzentrum der Handwerkskammer Bremen","Weiterbildungsinitiative Handwerk & energetische
Gebäudesanierung",2012,2014,"731975,31",
Handwerkskammer Bremen,"B-Unterstützung der technologischen
Lehrlingsunterweisung im Handwerk-Auszubildende",2009,2012,"1249839,16",
Hans-Wendt-Stiftung,Deutschkurs Blockdiek,2013,2014,"3196,8",
Hans-Wendt-Stiftung,"Bremen produktiv - integrativ Hans-Wendt-Stiftung / Hol
Över (jetzt Landesmittel unter 07.9.100.E.0.1)",2009,2010,,0
Hanseatische IBV GmbH & Co.KG,Ausbildungsverhältnis,2012,2013,5000,
Heide Horstmann,Umgang mit Zahlen,2011,2011,,"2328,05"
"Helene-Kaisen-Haus
Wirtschaftsbetrieb der Stadt Bremerhaven",Profil-Pass für türkischsprachige Frauen,2008,2009,,7118
"Helene-Kaisen-Haus
Wirtschaftsbetrieb der Stadt Bremerhaven",Bewerbungstraining für Frauen mit Migrationshintergrund,2010,2011,,"7853,4"
Hochschule Bremen,"Strategien für den technischen Wandel im Kfz-Handwerk-
Beschäftigte",2008,2010,"526658,06",
Hochschule Bremen,QSL II - Qualitätssicherung in der Lebensmittelwirtschaft,2011,2013,"342814,14",
Hohehorst gGmbH,"Injobs-ESF Hohehorst U65T11, geförderte Beschäftigung",2011,2011,,"36826,27"
Hoppenbank e.V.,"Injobs-ESF Hoppenbank U65SI11, geförderte
Beschäftigung",2011,2011,,"33056,82"
Hoppenbank e.V.,Koordination Ehrenamt V,2013,2013,"9983,6",
Hoppenbank e.V.,HIGELO V,2013,2013,"9218,08",
Hoppenbank e.V.,Ich lese für Dich,2009,2010,,10000
Hoppenbank e.V.,Koordination Ehrenamt IV,2012,2012,,"9196,99"
Hoppenbank e.V.,HIGELO IV - Softskills für Straffällige,2012,2012,,"8907,42"
Hoppenbank e.V.,Ich lese für Dich II,2010,2011,,"7998,67"
Hoppenbank e.V.,HIGELO III,2011,2011,,"7693,97"
Hoppenbank e.V.,Koordination Ehrenamt III,2011,2011,,"8587,91"
Hoppenbank e.V.,Alkoholsuchtberatung & Prävention,2011,2012,,"7205,83"
Hoppenbank e.V.,"CHANCE III, Berufshilfe",2008,2010,,"289333,61"
Hoppenbank e.V.,"Alkoholsuchtberatung & Prävention II (Umgang mit Sucht /
Eigenverantwortung)",2012,2013,,"9170,11"
Hoppenbank e.V.,"HIGELO (Hier geht`s los), Säule II - Haus",2010,2010,,"5938,23"
Hoppenbank e.V.,Koordination Ehrenamt,2010,2010,,"9204,72"
Hoppenbank e.V.,HIGELO (Hier geht`s los) Säule I: Der Mensch im Zentrum,2008,2009,,"7960,79"
Hoppenbank e.V.,Koordination Ehrenamt,2008,2009,,9540
Hoppenbank e.V.,Ich lese für dich IV,2013,2014,10000,
Hoppenbank e.V.,Ich lese für Dich III,2012,2013,,10000
Hoppenbank e.V.,Alkoholsuchtberatung & Prävention III,2013,2014,"9994,04",
Horst Supp,Transfercoaching,2009,2010,,"7757,07"
Human & Environment e. V.,PC-Kurs für afrikanische Frauen,2009,2009,,"2122,87"
i2b idea2business GmbH,"Transferaktivitäten der Landesinitiative
Robotikweiterbildung; Transfer 2: Meet-Up",2013,2014,54740,
"INBAS Institut für berufliche Bildung, Arbeitsmarkt- und
Sozialpolitik GmbH",NQVorE,2013,2014,"713425,63",
Ingrid Otten,Mutmachtraining,2008,2009,,"6185,45"
Ingrid Otten,Neuorientierung ins Berufsleben,2009,2010,,"6434,99"
Initiative Handycap Tenever,Grafische Gestaltung am PC II,2009,2010,,"2830,86"
Initiative Handycap Tenever,Grafische Gestaltung am PC,2008,2009,,"2337,72"
Initiative Jugendhilfe Bremerhaven e.V.,Bewerbungstraining für Jugendliche,2011,2011,,"693,03"
Institut f. Berufs- u. Sozialpädagogik e.V. - ibs,"Injobs-ESF MAE.U65R, ""Regionales Netzwerk Ost
(Hemelingen)""; geförderte Beschäftigung ab 26.03.2012",2012,2012,"81483,33",
Institut f. Berufs- u. Sozialpädagogik e.V. - ibs,B-Altenpflegeausbildung,2008,2011,"618179,68",
Institut f. Berufs- u. Sozialpädagogik e.V. - ibs,Jugendberatung Süd,2008,2010,,"154667,29"
Institut f. Berufs- u. Sozialpädagogik e.V. - ibs,"SVB.V., "" Hemelingen produktiv II - Kooperationsverbund"",
geförderte Beschäftigung",2011,2011,,"176340,53"
Institut f. Berufs- u. Sozialpädagogik e.V. - ibs,"Bremen produktiv - integrativ Institut für Berufs- und
Sozialpädagogik / Hemelingen produktiv",2008,2010,"1297014,96",
Institut f. Berufs- u. Sozialpädagogik e.V. - ibs,"""Go Web""",2013,2014,2907,
Institut f. Berufs- u. Sozialpädagogik e.V. - ibs,"Injobs-ESF ibs U65R11 Netzwerk Ost (Hemelingen),
geförderte Beschäftigung",2011,2011,,"94656,96"
Institut f. Berufs- u. Sozialpädagogik e.V. - ibs,Berufsbegleitende Altenpflegeausbildung,2008,2011,"273975,61",
Institut für Arbeit e. V.,Förderung der ehrenamtlichen Arbeit,2008,2009,,8270
Interkulturelle Werkstatt Tenever e.V.,Interkulturelles Lernen,2009,2009,,0
Interkulturelle Werkstatt Tenever e.V.,"Bremen produktiv-integrativ Interkulturelle Werkstatt
Tenever / Tenever Sozialräumlich Produktiv",2008,2009,,"582498,23"
James Marquardt & Co. GmbH,Ausbildungsverhältnis,2013,2014,4000,
James Marquardt & Co. GmbH,Ausbildungsverhältnis,2012,2013,,4000
Johann Gossen,"Bewerbungstraining und Sprachförderung für Aussiedler
über 50 und jüdische Migranten",2008,2009,,"3734,05"
Johann Gossen,"Bewerbungstraining und Sprachförderung für
langzeitarbeitslose Migranten",2009,2010,,3838
Johann Gossen,Migrantensprachförderung und Bewerbungstraining,2011,2012,,"3429,59"
Johann Gossen,Migrantionssprachförderung und Bewerbungstraining,2010,2011,,"3637,24"
Jonny Richter,Ausbildungsverhältnis,2013,2014,5000,
Junge Stadt gGmbH,Kochen als Beruf,2010,2011,,"2927,71"
Junge Stadt gGmbH,Hausaufgaben-Fitness-Center,2008,2009,,6336
Junge Stadt gGmbH,Fit für den Schulabschluss - Erfolgreich in die Ausbildung,2009,2010,,6512
Junge Stadt gGmbH,Plannung und Durchführung der Terrassierung,2010,2011,10000,
Junge Stadt gGmbH,Gärtnerische Gestaltung des Außengeländes,2010,2011,5000,
Justizvollzugsanstalt Bremen,Chance IV - Einstieg in das Recycling,2011,2015,213368,
Justizvollzugsanstalt Bremen,"Chance III ""Einstieg in das Recycling""",2009,2010,,"126389,63"
KFZ-Werkstatt Michael Polle,Ausbildungsverhältnis,2013,2014,3000,
"Kita Bremen
Eigenbetrieb der Stadtgemeinde Bremen",Elternschule Kinder- und Familienzentrum Zeppelinstraße,2010,2011,,"1589,09"
KK Kommunikations GmbH & Co KG,Ausbidlungsverhältnis,2013,2014,4000,
Kölling Medien-Service,"Transferaktivitäten der Landesinitiative
Robotikweiterbildung; Transfer 1: Website",2013,2014,"44771,3",
Konfliktmanagement Dr. Gieseler und Stein,Stay In! Wohnfähigkeit sichern - in Arbeit kommen,2013,2014,9968,
Kreishandwerkerschaft Bremerhaven,A-Tandem Bremerhaven,2010,2011,100000,
Kuhlmann Büroservice,Ausbildungsverhältnis,2013,2014,4000,
Kultur- und Integrationszentrum e.V.,Steigerung der Lernmotivation Jugendlicher,2008,2009,,"9715,8"
Kultur- und Integrationszentrum e.V.,"Training zur persönlichen, kulturellen und beruflichen
Orientierung",2009,2010,,5500
Kulturinsel e. V.,"Schaufensterdekorationen in der ""Alten Bürger""",2011,2012,,9996
Kulturinsel e. V.,"Fassadengestaltung im Quartier ""Alte Bürger""",2012,2013,,9996
Kulturinsel e. V.,"Einrichtung einer Künstlerwerkstatt in der ""Alten Bürger""",2011,2011,,9992
Kulturinsel e. V.,"Wir malen die ""Alte Bürger""",2013,2014,"9992,4",
Kulturzentrum Lagerhaus Bremen e.V.,"Injobs-ESF KuZeLagerhaus U65T11, geförderte
Beschäftigung",2011,2011,"77575,08",
Künstlerhaus Bremen e.V.,"Injobs-ESF Künstlerhaus Bremen U65T11, geförderte
Beschäftigung",2011,2011,,"68945,31"
Kutur vor Ort e.V.,Elternscouts- Anleitung zu Bildungsbeteiligung,2010,2011,,"9785,3"
Kutur vor Ort e.V.,Archiv der Sprachen: Ausstellungslotsen,2010,2011,,"7441,76"
La Sciccosa Fashion 82 GmbH,Ausbildungsverhältnis,2013,2014,4000,
Leben in Grohn e.V.,Alphabetisierungskurs,2008,2009,,2592
Leben in Grohn e.V.,Ankommen in Deutschland,2008,2009,,"6755,95"
Leben in Grohn e.V.,Nähwerkstatt,2008,2008,,"2800,65"
Leben in Grohn e.V.,Deutsch im Alltag - Aufbaukurs,2011,2012,,"4128,77"
Leben in Grohn e.V.,"Fortsetzung der Alphabetisierung und Aneignung der
deutschen Sprache",2011,2012,,"4271,9"
Leben in Grohn e.V.,Alpha- und Deutschkurs für Frauen mit Vorkenntnissen,2010,2011,,3933
Leben in Grohn e.V.,"Deutsch im Alltag - Niedrigschwelliger Alpha- und
Sprachkurs",2009,2010,,3207
Leben in Grohn e.V.,Nähkurs,2012,2012,,"3868,6"
Leben in Grohn e.V.,Alphabetisierungs- und Deutschkurs für Romafrauen,2009,2010,,2171
Leben in Grohn e.V.,Alphabetisierungskurs für Roma-Frauen,2009,2010,,2684
Leben in Grohn e.V.,"Wie funktioniert Deutschland - Projekt zur
Integrationsbegleitung",2009,2010,,"6270,72"
Leben in Grohn e.V.,Lese- und Schreibkompetenz verbesern,2010,2011,,"5050,5"
Leben in Grohn e.V.,"Das Wir gewinnt - nachbarschaftliche Vernetzung in der
Grohner Dühne",2008,2009,,"6337,6"
Leben in Grohn e.V.,Integrationslotse für Roma-Familien,2008,2009,,1560
Leben in Grohn e.V.,Café Zwirn - Nähwerkstatt,2009,2010,,"2780,1"
Leben in Grohn e.V.,Integrationskurs beendet - was kommt danach?,2011,2011,,234
Leben in Grohn e.V.,Start frei - für die Zukunft,2011,2011,,"9021,06"
Leben in Grohn e.V.,Alphabetisierungskurs für Frauen,2008,2009,,"3447,93"
LSB - Landessportbund Bremen e.V.,Unterstützung Jugendlicher bei Klassen- und Hausarbeiten,2012,2013,,"3390,54"
LSB - Landessportbund Bremen e.V.,Bewerbungstraining für Jugendliche,2012,2013,,"3673,41"
LSB - Landessportbund Bremen e.V.,Übungsleiter-Ausbildung-C-Lizenz in Osterholz (Tenever),2013,2013,6957,
LSB - Landessportbund Bremen e.V.,Unterstützung in der Schul- und Berufsausbildung,2010,2011,,"3840,87"
LSB - Landessportbund Bremen e.V.,Bewerbungstraining für Jugendliche,2013,2014,"5666,6",
LSB - Landessportbund Bremen e.V.,Erneuerung des Tonstudios 327,2013,2013,2796,
LSB - Landessportbund Bremen e.V.,Übungsleiter-Ausbildung-C in Osterholz (Schweizer Viertel),2012,2012,,"7037,87"
LSB - Landessportbund Bremen e.V.,Schultraining und Hausaufgabenhilfe gegen Schulabbruch,2008,2009,,2710
LSB - Landessportbund Bremen e.V.,"Keine Probleme mehr bei Hausaufgaben und
Klassenarbeiten",2014,2014,"3548,8",
LSB - Landessportbund Bremen e.V.,Bewerbungen schreiben leicht gemacht,2014,2014,"3744,48",
Lübkemann & Benthe GmbH,Ausbildungsverhältnis,2012,2013,3000,
Lübkemann + Benthe Autohandels GmbH,Ausbildungsverhältnis,2013,2014,4000,
ma-co maritimes competenzcentrum GmbH,"PortWork - Beschäftigungssicherung in der Hafen- und
Logistikwirtschaft",2008,2011,"588468,4",
ma-co maritimes competenzcentrum GmbH,"PortWork - Beschäftigungssicherung in der Hafen- und
Logistikwirtschaft",2008,2010,"869632,18",
Mädchentreff Huchting e.V.,Orientierung und Lebensplanung im digitalen Zeitalter,2012,2012,,"4500,78"
Mädchentreff Huchting e.V.,"Unterstützung bei der Berufs- und Lebensplanung für
Mädchen",2008,2009,,"7062,21"
Mädchentreff Huchting e.V.,Auf dem Weg in den Beruf - Beraten und Begleiten,2012,2013,,"3935,62"
Mädchentreff Huchting e.V.,Berufsplanung,2013,2014,"9077,48",
Mädchentreff Huchting e.V.,Ausbildung von Souts,2012,2013,"2836,21",
Mädchentreff Huchting e.V.,Juleika - Ausbildung für Mädchen,2009,2010,,"3591,58"
Magistrat Bremerhaven,"AvL / Aktivierung von Langzeitarbeitslosen im
hauswirtschaftlichen Bereich",2008,2009,,"2529,55"
Magistrat Bremerhaven,C-Werkschule Bremerhaven,2010,2012,"361543,59",
Magistrat Bremerhaven,MobiBau,2009,2010,,9960
Magistrat Bremerhaven,Werkstatt für kulturelle Veranstaltungen,2008,2009,,"11111,82"
Magistrat Bremerhaven,Freiwilligenagentur,2010,2013,"244007,18",
Maitre Stefan Boulangerie & Café,Ausbildungsverhältnis,2013,2014,3000,
Malerei Freye e. K.,Ausbildungsverhältnis,2013,2014,3000,
Manitzky GmbH & Co.KG,Ausbildungsverhältnis,2012,2013,3000,
marlex seminare,Qualifizierte Dienstleistung,2012,2013,"9911,2",
marlex seminare,Qualifizierte Dienstleistung,2013,2014,10000,
"Mauern Öffnen e.V.
c/o Herrn Hoff","CHANCE IV, Bildhauerwerkstatt - Aussenwerkstatt",2011,2014,"228798,7",
"Mauern Öffnen e.V.
c/o Herrn Hoff","CHANCE III,  Aussenwerkstatt",2008,2010,,"139962,79"
Medienwerkstatt Huchting e.V.,Rein in die Zukunft,2008,2009,,"9952,1"
Medienwerkstatt Huchting e.V.,"Audiospuren und Fotostrecken zu Orten des
außerschulischen und beruflichen Lernens in Huchting",2013,2014,9000,
Medienwerkstatt Huchting e.V.,"""insan...mensch-komm mit nach morgen!""",2013,2014,6360,
Metallbau Stefan Knoop,Ausbildungsverhältnis,2013,2014,3000,
Meyerdiercks Marine GmbH & Co.KG,Ausbildungsverhältnis,2012,2013,,4000
"Mira Levinson
Kulturwissenschaften",Bewerbungswerkstatt Lehe,2013,2013,10000,
"Mira Levinson
Kulturwissenschaften",Bewerbungswerkstatt Grünhöfe,2012,2013,10000,
"Mira Levinson
Kulturwissenschaften",„Bewerbungen schreiben  ?  leicht gemacht“ in der Theo,2013,2014,10000,
"Mira Levinson
Kulturwissenschaften","„Bewerbungen schreiben  ?  leicht gemacht“ im DLZ
Grünhöfe",2013,2014,10000,
"Mira Levinson
Kulturwissenschaften","Lernwerkstatt ""Bewerbung""",2012,2012,,"9885,55"
Miriam Breitfelder,Remembory Lüssum 2012,2012,2012,,"6830,73"
Muth & Bahr Haustechnik GmbH,Ausbildungsverhältnis,2013,2014,3000,
Mütterzentrum Blockdiek e. V.,Inklusion durch Praktikum 2,2012,2013,"6984,64",
Mütterzentrum Blockdiek e. V.,Inklusion durch Praktikum,2013,2014,"6984,64",
Mütterzentrum Blockdiek e. V.,Inklusion durch Praktikum,2011,2012,,"6353,52"
Mütterzentrum Blockdiek e. V.,"Themenorientierter Deutschkurs ""Rund ums Kind""",2011,2011,,"3486,77"
Mütterzentrum Blockdiek e. V.,Migrantinnen auf dem Weg in die Berufstätigkeit,2013,2013,4426,
Mütterzentrum Blockdiek e. V.,Computerkurse für Frauen in Blockdiek,2009,2010,,"3440,7"
Mütterzentrum Blockdiek e. V.,Deutschkurs für Migrantinnen in Blockdiek,2010,2010,,"3905,22"
Mütterzentrum Blockdiek e. V.,Frauen aus aller Welt auf dem Weg in die Berufstätigkeit,2012,2013,,"3876,21"
Mütterzentrum Huchting e.V.,Perspektive Beruf ?!,2013,2014,"9959,73",
Mütterzentrum Huchting e.V.,Sprache will gesprochen werden,2012,2012,,"6697,9"
Mütterzentrum Huchting e.V.,Der Schlüssel zur Kompetenz,2012,2012,,"9996,8"
Mütterzentrum Huchting e.V.,Fremd ist die Fremde nur in der Fremde,2012,2013,"9997,4",
Mütterzentrum Huchting e.V.,"MOBIL - Motivation, Orientierung, Beratung, Integration,
Lebenslanges Lernen",2008,2009,,"141702,01"
Mütterzentrum Huchting e.V.,Gesund und mobil zum Ziel,2013,2014,"9999,3",
Mütterzentrum Huchting e.V.,Lernen braucht Bewegung,2012,2012,"7691,57",
Mütterzentrum Osterholz-Tenever e.V.,Vorkurs Altenhilfe für Migrantinnen,2009,2009,,"5909,06"
Mütterzentrum Osterholz-Tenever e.V.,EDV-gestützte Workshops,2012,2012,,"2727,65"
Mütterzentrum Osterholz-Tenever e.V.,Orientierungskurs für yezidische Frauen,2013,2013,3551,
Mütterzentrum Osterholz-Tenever e.V.,Bremen produktiv-integrativ Mütterzentrum / Tenever,2008,2010,,"1042891,54"
Mütterzentrum Osterholz-Tenever e.V.,Berufsvorbereitung für Frauen / Migrantinnen,2012,2013,,"7518,08"
Mütterzentrum Osterholz-Tenever e.V.,Berufliche Orientierung,2013,2013,"1408,65",
Mütterzentrum Osterholz-Tenever e.V.,Voneinander lernen Nachhilfe für Jugendliche,2012,2013,,"4445,44"
Mütterzentrum Osterholz-Tenever e.V.,"SVB.Q., ""BOBI - Berufliche Orientierung Beschäftigung
Integration für Frauen und Migrantinnen im Bremer Osten"",
geförderte Beschäftigung",2011,2012,,"413819,94"
Mütterzentrum Osterholz-Tenever e.V.,Berufspraktikum für Frauen mit Migrationshintergrund,2008,2008,,7000
Mütterzentrum Osterholz-Tenever e.V.,einZIGartig - Identitätsbuch,2011,2012,5040,
Mütterzentrum Osterholz-Tenever e.V.,Der rote Faden,2010,2011,,5911
Mütterzentrum Osterholz-Tenever e.V.,Fließend Deutsch sprechen,2012,2013,,"4364,4"
Mütterzentrum Osterholz-Tenever e.V.,"Voneinander lernen Qualifizierung und Nachhilfe für
Jugendliche",2013,2013,"3877,6",
Mütterzentrum Osterholz-Tenever e.V.,Job- und Qualifizierungsmarkt Tenever,2010,2010,,"6943,94"
Mütterzentrum Osterholz-Tenever e.V.,"""BOBI - Berufliche Orientierung Beschäftigung Integration
für Frauen und Migrantinnen im Bremer Osten"", geförderte
Beschäftigung ab 04/2012",2012,2014,"178026,4",
Mütterzentrum Osterholz-Tenever e.V.,Chancen nutzen,2013,2014,"9359,17",
Mütterzentrum Osterholz-Tenever e.V.,Rollen spielend Deutsch lernen,2013,2013,"3300,8",
Mütterzentrum Osterholz-Tenever e.V.,"Konzeptentwicklung für die Qualifizierung von
Migranten/innen",2013,2013,,6820
Mütterzentrum Osterholz-Tenever e.V.,Neztwerk Bildungszentrum Tenever,2009,2009,,"2748,78"
Mütterzentrum Osterholz-Tenever e.V.,"Beratungsprojekt zur beruflichen Orientierung für Frauen im
Bremer Osten",2008,2009,,"193016,15"
Mütterzentrum Osterholz-Tenever e.V.,"Beratungsprojekt zur beruflichen Orientierung für Frauen im
Bremer Osten",2011,2013,"284806,68",
Mütterzentrum Vahr e.V.,Ich möchte arbeiten-Von der Idee zur Umsetzung,2011,2013,"97520,88",
Mütterzentrum Vahr e.V.,Ich möchte arbeiten: Von der Idee zur Umsetzung,2008,2010,,"101217,52"
"Nah & Frisch
Inh. Stefan Benitz",Ausbildungsverhältnis,2012,2013,4000,
Naturkost  Kontor Bremen GmbH,Ausbildungsbonus,2012,2013,4000,
Netto Marken-Discount AG &Co.KG,Ausbildungsverhältnis,2012,2013,4000,
nordwest Logistik & Spedition GmbH,Ausbildungsverhältnis,2012,2013,5000,
Oelfke GmbH,Ausbildungsverhältnis,2013,2014,5000,
"ÖkoNet  Ökologie und
Personalentwicklung gGmbH","Injobs-ESF Ökonet U65SI11, geförderte Beschäftigung",2011,2011,,"54521,71"
"ÖkoNet  Ökologie und
Personalentwicklung gGmbH",Bremen produktiv - integrativ ÖkoNet und GRI / Verbund,2008,2010,"4140156,91",
"ÖkoNet  Ökologie und
Personalentwicklung gGmbH","Bremen produktiv - integrativ Gröpelinger Recycling
Initiative und ÖkoNet / Verbund (integrativ)",2008,2010,,"153072,43"
"ÖkoNet  Ökologie und
Personalentwicklung gGmbH","""Ökologisches Handeln und soziale Verantwortung für
Bremen-Huchting"", geförderte Beschäftigung",2011,2012,262436,
"ÖkoNet  Ökologie und
Personalentwicklung gGmbH","CHANCE III, Computer Recycling",2008,2010,,"173417,09"
"ÖkoNet  Ökologie und
Personalentwicklung gGmbH",MiLo Ökonet FAV,2013,2013,8647,
"ÖkoNet  Ökologie und
Personalentwicklung gGmbH","""Ökologisches Handeln u soziale Verantwortung f Bremen-
Huchting u Gemeinsam ökologisch Handeln f Bremen"",
geförderte Beschäftigung ab 04/2012",2012,2014,"582394,6",
Otto Hayen Haustechnik GmbH,Ausbildungsverhältnis,2011,2012,,3000
OXZY E. Kaufmann,Ausbildungsverhältnis,2013,2014,5000,
P.J. Schmidt GmbH,Ausbildungsverhältnis,2013,2014,5000,
Pädagogisches Zentrum Bremerhaven e.V.,Der zweite Schritt: A1,2013,2014,"9994,94",
Pädagogisches Zentrum Bremerhaven e.V.,Von D bis Z,2011,2011,,"9865,45"
Pädagogisches Zentrum Bremerhaven e.V.,"ABC / Ein niederschwelliges Alphabetisierungsangebot für
Flüchtlinge ohne Sprachkursanspruch",2010,2011,,"9405,08"
Pädagogisches Zentrum Bremerhaven e.V.,Ein erster Schritt,2013,2013,"9998,06",
Pädagogisches Zentrum Bremerhaven e.V.,Mein Ziel: A1,2012,2012,,"9998,36"
"Paritätisches Bildungswerk, LV Bremen e.V.",VIA 11 - Vielfalt in Arbeit - BremerForum Diversity,2011,2014,"110236,17",
"Paritätisches Bildungswerk, LV Bremen e.V.",VIA 11 - Vielfalt in Arbeit - Erwerbslose,2011,2014,"1049303,25",
"Paritätisches Bildungswerk, LV Bremen e.V.","""Ich kann helfen"" - Sprach- u. Kulturlotsen",2013,2014,"9417,7",
"Paritätisches Bildungswerk, LV Bremen e.V.",Mama lernt Deutsch,2013,2014,"9999,98",
"Paritätisches Bildungswerk, LV Bremen e.V.",KinderpflegerIn/SozialassistentIn (ehemals proKiTa II),2008,2011,"1263231,54",
"Paritätisches Bildungswerk, LV Bremen e.V.",Berufsbegleitende Ausbildung zur ErzieherIn/zum Erzieher,2008,2011,,"740151,66"
"Paritätisches Bildungswerk, LV Bremen e.V.",Mama lernt Deutsch,2011,2012,,"9689,93"
"Paritätisches Bildungswerk, LV Bremen e.V.",Alles unter einem Dach,2009,2012,,"20175,67"
"Paritätisches Bildungswerk, LV Bremen e.V.",Mama lernt Deutsch,2013,2014,"9986,21",
"Paritätisches Bildungswerk, LV Bremen e.V.","Berufsbeg. Ausbildung zur
ErzieherIn/HeilerziehungspflegerIn",2011,2014,"898260,42",
"Paritätisches Bildungswerk, LV Bremen e.V.","Umschulung zur SozialassistentIn/ErzieherIn mit
verschiedenen Zugangsmodulen",2011,2014,"941739,15",
"Paritätisches Bildungswerk, LV Bremen e.V.","Berufliche Grundqualifizierung für Bremerinnen aus aller
Welt",2012,2013,"48023,96",
"Paritätisches Bildungswerk, LV Bremen e.V.",Pflegequalifizierung für MigrantInnen,2012,2014,47931,
"Paritätisches Bildungswerk, LV Bremen e.V.",Mama lernt Deutsch,2014,2014,"4999,62",
"Paritätisches Bildungswerk, LV Bremen e.V.","Vielfalt in Abeit - VIA, Teilprojekt 2: Bremer Forum Diversity",2008,2011,,"313229,72"
"Praxis für Bildungs- und Berufsberatung & psychologische
Diagnostik GbR",Vahrer Ausbildungsmentoren,2013,2013,8250,
"Praxis für Bildungs- und Berufsberatung & psychologische
Diagnostik GbR",Ausbildungsmentoring,2012,2012,,9960
"Pro Familia, Deutsche Gesellschaft für Familienplanung,
Sexualpädagogik u. Sexualberatung - LV Bremen e.V.",Talk Company - Zukunft für junge Menschen,2013,2014,"7902,58",
"Pro Familia, Deutsche Gesellschaft für Familienplanung,
Sexualpädagogik u. Sexualberatung - LV Bremen e.V.",Talk Company,2012,2013,,"7621,18"
"Pro Familia, Deutsche Gesellschaft für Familienplanung,
Sexualpädagogik u. Sexualberatung - LV Bremen e.V.",SchülerInnen beraten SchülerInnen II,2011,2012,,"7494,02"
"Pro Familia, Deutsche Gesellschaft für Familienplanung,
Sexualpädagogik u. Sexualberatung - LV Bremen e.V.",SchülerInnen beraten SchülerInnen,2010,2011,,"8286,64"
Pro-Autoteile UG,Ausbildungsverhältnis,2013,2014,4000,
ProJob Bremen gGmbH,"Bremen produktiv-integrativ ProJob / Tagesjobprojekt
(integrativ)",2008,2010,,"140697,17"
