Name des Begünstigten,Bezeichnung des Vorhabens,Jahr Bewilligung ,Jahr Projektende,Gewährte Beträge,bei Abschluss des Vorhabens gezahlte Gesamtbeträge
ProJob Bremen gGmbH,"Bremen produktiv-integrativ ProJob / Allmende, Netzwerk,
Kunstbau, Cafeteria AFZ, Second-Hand-Shop (integrativ)",2008,2010,,"877965,55"
ProJob Bremen gGmbH,"Injobs-ESF ProJob U65SI11, geförderte Beschäftigung",2011,2011,42336,
ProJob Bremen gGmbH,"MAE. ProJob gGmbH, ""ProTach - Tagesjobprojekt"",
geförderte Beschäftigung",2011,2013,171898,
ProJob Bremen gGmbH,"MAE. ProJob Bremen gGmbH, ""Allmende Netzwerk"",
geförderte Beschäftigung",2011,2013,"494806,5",
ProJob Bremen gGmbH,"MAE. ProJob Bremen gGmbH, ""Baukunst"", geförderte
Beschäftigung",2011,2013,"309431,53",
ProJob Bremen gGmbH,"MAE. ProJob Bremen gGmbH, ""ProShop - Secondhand
Laden"", geförderte Beschäftigung",2011,2013,171992,
ProJob Bremen gGmbH,"MAE. ProJob Bremen gGmbH, ""Baukunst""; geförderte
Beschäftigung ab 02/2013",2013,2014,104805,
ProJob Bremen gGmbH,"MAE. ProJob Bremen gGmbH, ""ProShop""; geförderte
Beschäftigung ab 02/2013",2013,2014,69870,
ProJob Bremen gGmbH,"MAE. ProJob Bremen gGmbH, ""ProTach""; geförderte
Beschäftigung ab 02/2013",2013,2014,69870,
PS Personal Spezial GmbH,Ausbildungsverhältnis,2012,2013,4000,
Psychologische Praxis Khanaqa-Kükelhahn,"Wir, hier! Gestern, Heute, Morgen",2013,2013,"9962,5",
Psychologische Praxis Khanaqa-Kükelhahn,Wir sind Vahr!,2012,2012,,"9962,5"
"Pusdorfer Reiseland
Inh. Gabriele Wolter",Ausbildungsverhältnis,2012,2013,3000,
Quartier gGmbH,In Hülle und Fülle - Modeprojekt für gewichtige Frauen,2010,2010,10000,
Quartier gGmbH,Luftmasche & Nadelstich - ein Textilkunstprojekt für Frauen,2012,2013,,10000
Quartier gGmbH,Sonderqualifizierung Messeorganisation,2009,2009,,"7666,7"
Quartier gGmbH,Schülerfirma K-Tower Team,2010,2010,,"8061,32"
Quartier gGmbH,Modellprojekt act,2012,2013,"109708,73",
Quartier gGmbH,In Hülle und Fülle 2,2011,2011,,8000
Quartier gGmbH,"Bremen produktiv-integrativ Quartier / Kattenturm-
Mitte/Upsign",2008,2010,,"733572,77"
Quartier gGmbH,Berufsfelderkundung Bühnenberufe - OPERA,2012,2013,"6595,6",
Quell BildungsKonzepte GmbH,FiFa -  Bremerhaven,2012,2013,"46867,79",
"Rad & Tour, Feine Räder",Ausbildungsverhältnis,2013,2014,4000,
Reifen Becker,Ausbildungsverhältnis,2013,2014,3000,
Reinhard Büsching,PLANFILM - Filmen und arbeiten nach Plan,2008,2009,,10000
Reinhard Büsching,"Theorie und Praxis - In filmischer Arbeit Lösungen von
Aufgaben finden",2009,2009,,10000
Restaurant Manitu,Ausbildungsverhältnis,2012,2013,4000,
RKW Bremen GmbH,"Gründerfabrik Bremen -Existenzgründungsberatung für
Arbeitslose, Frauen und Personen mit
Migrationshintergrund",2008,2010,,"986604,39"
RKW Bremen GmbH,Gründungsfabrik,2011,2014,"691405,67",
"Röder Medienconsulting und Produktionsdienstleistung
UG",Kattenturmer Bildungsforum,2013,2013,10000,
"Röder Medienconsulting und Produktionsdienstleistung
UG",Kattenturm goes Work,2011,2012,,"9904,04"
"Röder Medienconsulting und Produktionsdienstleistung
UG",Arsten goes Work,2012,2013,9998,
"Rolling Disco GbR, Inh. Zaepernick & Ullrich",DJ School 2.0,2010,2010,,"7790,05"
"Rolling Disco GbR, Inh. Zaepernick & Ullrich",Wohlers Eichen DJ School,2009,2009,,"5470,85"
Ronald Meyer GmbH & Co.KG,Ausbildungsverhältnis,2012,2013,3000,
SAWIDA Dachdeckermeisterbetrieb,Ausbildungsverhältnis,2012,2013,4000,
Schröter Raumausstattung,Ausbildungsverhältnis,2012,2013,3000,
Schule für alle in Bremerhaven gGmbH,MediKom,2011,2012,,"9006,9"
Schulverein d. SZ Hemelingen e.V.,Bewerbungscamp 2012,2012,2012,,"5320,4"
Schulverein d. SZ Hemelingen e.V.,Bewerbercamp 2013,2013,2013,"4651,4",
Schulverein d. SZ Hemelingen e.V.,Bewerbungscamp der Wilhelm-Olbers-Schule,2011,2012,"4455,8",
Schulverein der Gerhard-Rohlfs-Schule,"""Mut zur Ausbildung"" / Du hälst durch",2011,2012,9990,
Schulverein der Gerhard-Rohlfs-Schule,Du packst es an,2011,2011,,7072
Schulverein der Grundschule Andernacher Straße,Sprachkurs für Migrantinnen,2010,2011,,"2313,55"
Schulverein der Grundschule Andernacher Straße,Sprachkurs für Migrantinnen und Migranten,2009,2010,,"2378,15"
Schulverein der Schule am Pfälzer Weg,Frühstück in der Schule II,2009,2009,,"1982,5"
Schulverein der Schule am Pfälzer Weg,Frühstück in der Schule,2008,2009,,2048
"Schulverein des Schulzentrums an der
Kornstrasse e.V.",Flamingo-Gym II,2011,2012,4680,
"Schulverein des Schulzentrums an der
Kornstrasse e.V.",Flaminga-Gym,2010,2011,,4600
"Schulverein des Schulzentrums an der
Kornstrasse e.V.",Gewaltprävention,2012,2013,4800,
"Schulverein des Schulzentrums an der
Kornstrasse e.V.",Menschentheater,2012,2013,4662,
"Schulverein SZF e. V.
z. Hd. Kh. Titkemeyer",Tauchprojekt zur Gewaltprävention für Jugendliche,2008,2008,,7870
Schulz Systemtechnik GmbH,"Ganzheitliche Weiterbildung in Idustrierobotik einschließlich
Leichtbaurobotik für verschiedene Zielgruppen (InduRob);",2013,2014,"210954,69",
Selbsthilfe Sozialzentrum - SHSZ - e. V.,"Bremen produktiv-integrativ Selbsthilfe Sozialzentrum /
Integration und Diversität (Sonderfall: ESF-Mittel nur zur
Strukturerhaltung)",2008,2008,,"58806,1"
Senator für Justiz und Verfassung,"CHANCE IV, Gesamtkoordination und Diagnose - Profiling -
Assessment",2011,2014,"427740,48",
Senator für Justiz und Verfassung,"CHANCE III, Gesamtkoordination / DPA",2008,2010,,"591811,79"
Senatorin für Bildung und Wissenschaft,"LuRa - (Pilot und Hauptphase) Servicetechniken in der Luft-
und Raumfahrt",2011,2013,"674119,68",
Senatorin für Bildung und Wissenschaft,Übergangsoptimierung Bremen Nord,2013,2014,"353084,84",
Senatorin für Bildung und Wissenschaft,WiQi,2012,2014,793998,
Senatorin für Bildung und Wissenschaft,C-GIBO,2009,2012,"328046,82",
Senatorin für Bildung und Wissenschaft,C-ILA,2009,2012,"1146302,74",
Senatorin für Bildung und Wissenschaft,"Verbesserung der Berufsfähigkeit von Jugendlichen und
jungen Erwachsenen SoPu II",2008,2010,"123763,26",
Senatorin für Bildung und Wissenschaft,VegeMINT,2012,2014,"400652,17",
Senatorin für Bildung und Wissenschaft,"C-Entwicklung und Implementation eines Konzepts zur
Förderung lernbenachteiligter Jugendlicher durch
praxisorientiertes Lernen(FöJu)",2009,2012,"1453290,62",
Senatorin für Bildung und Wissenschaft,Steuerungstechnische Basisqualifikation (SBQ),2008,2010,,"644434,09"
Senegal und Freunde e.V.,Multiplikatoren-Schulung,2011,2012,,"9996,68"
Senegal und Freunde e.V.,Honorare für BürgerEngagagement-Clubleitung,2012,2013,,"8398,13"
Shefik Übersetzungsbüro,Ausbildungsverhältnis,2012,2013,,4000
"Solidarische Hilfe e. V.
Sozialberatung",Erwerbslosen- und Sozialberatung,2008,2010,,"201692,73"
"Solidarische Hilfe e. V.
Sozialberatung","Unabhängige Erwerbslosen- und Sozialberatung im Bremer
Süden",2011,2012,133300,
"Solidarische Hilfe e. V.
Sozialberatung",Offene Erwerbslosen- und Sozialberatung,2013,2014,"146150,19",
"SOS Kinder- und Jugendhilfen Bremen-Diepholz-Verden
e. V.",SOS Bildungsbüro,2012,2012,,"9550,07"
"SOS Kinder- und Jugendhilfen Bremen-Diepholz-Verden
e. V.",SOS-Bildungsbüro,2010,2011,,10000
Sozialpädagogiche Familien- und Lebenshilfe e.V.,"""FIZ"" - Fit in die Zukunft",2008,2009,,"14145,16"
Sozialpädagogiche Familien- und Lebenshilfe e.V.,LeBe - Lebensplanung und Berufswahl,2009,2010,,"2500,47"
Sportvereingung Hemelingen v. 1858 e.V.,Übungsleiterausbildung Hemelingen 2010,2010,2010,,"4381,34"
St. Petri Kinder- und Jugendhilfe,Bildungsangebote in Hemelingen,2013,2014,7000,
St. Petri Kinder- und Jugendhilfe,Lese- und Schreibwerkstatt für Jugendliche,2011,2012,,"2998,88"
St. Petri Kinder- und Jugendhilfe,Nachhilfe für junge Menschen aus Tenever,2011,2012,,"4999,39"
St. Petri Kinder- und Jugendhilfe,Kompetenznachweis Kultur,2012,2013,,"3736,65"
St. Petri Kinder- und Jugendhilfe,Das bin ich 2014,2013,2014,10000,
St. Petri Kinder- und Jugendhilfe,Bewerbungstraining in Tenever,2013,2014,10000,
St. Petri Kinder- und Jugendhilfe,Sitzskulptur,2011,2011,,5510
St. Petri Kinder- und Jugendhilfe,Elterntraining zur Suchtmittelprävention,2009,2010,,"4524,99"
St. Petri Kinder- und Jugendhilfe,RAP Tanztheater,2011,2012,,"9717,37"
St. Petri Kinder- und Jugendhilfe,Kompetenztraining mit Pferden,2009,2010,,2500
St. Petri Kinder- und Jugendhilfe,Kreative Bewerbungen,2009,2010,,"3451,47"
St. Petri Kinder- und Jugendhilfe,Mit Hilfe von Schulpaten die Ausbildungsreife verbessern,2012,2012,,"9609,67"
St. Petri Kinder- und Jugendhilfe,Know How für Azubi`s,2008,2009,,"7220,74"
St. Petri Kinder- und Jugendhilfe,fit forever,2013,2013,8000,
St. Petri Kinder- und Jugendhilfe,Bildungsangebote,2012,2013,,7000
St. Petri Kinder- und Jugendhilfe,Nachhilfe für Schüler/-innen u. Azubis aus Tenever,2012,2012,,5000
St. Petri Kinder- und Jugendhilfe,Blickpunkt Bildung,2010,2010,,5000
St. Petri Kinder- und Jugendhilfe,Training zur Konfliktlösung für junge Menschen in Tenever,2009,2009,,"2998,74"
St. Petri Kinder- und Jugendhilfe,Streetwork,2009,2009,,"4980,86"
St. Petri Kinder- und Jugendhilfe,Weiterentwicklung Schulpatenkonzept,2013,2013,4670,
St. Petri Kinder- und Jugendhilfe,"Deutschkurs für unbegleitete, minderjährige Flüchtlinge",2013,2013,3509,
St. Petri Kinder- und Jugendhilfe,Mit Nachhilfe klappt's,2013,2014,"6916,34",
St. Petri Kinder- und Jugendhilfe,Nachhilfe im Jugendhaus Tenever,2013,2014,5000,
St. Petri Kinder- und Jugendhilfe,Was kostet das Leben ?,2013,2014,"4976,28",
St. Petri Kinder- und Jugendhilfe,"Nachhilfe für Azubis und Schüler/-innen der
Abgangsklassen",2011,2012,,"6594,09"
St. Petri Kinder- und Jugendhilfe,Durchblick,2010,2011,"6784,31",
St. Petri Kinder- und Jugendhilfe,Bewerbungen kreativ gestalten,2011,2011,4462,
St. Petri Kinder- und Jugendhilfe,Smart Defense System,2010,2010,,"1407,43"
stadtland+ GmbH,Gesund aufwachsen / Hohentor,2011,2012,,9990
stadtland+ GmbH,Gesund aufwachsen in Huckelriede,2011,2012,,9977
stadtland+ GmbH,Gesund aufwachsen im Hohentor,2012,2013,9996,
stadtland+ GmbH,Entwurf eines Aktionsmobils zum Aufbau einer Schülerfirma,2013,2014,9998,
stadtland+ GmbH,Rezeptheft Gesundheit,2013,2014,7490,
stadtland+ GmbH,Gesund aufwachsen in Huckelriede,2012,2013,9984,
stadtland+ GmbH,Gesund aufwachsen im Hohentor,2013,2014,9990,
Stadtteil-Stiftung Hemelingen,Berufsorientierung Hemelingen,2013,2013,9915,
Stadtteil-Stiftung Hemelingen,Berufsorientierung Hemelingen,2012,2012,,9815
"Stichweh
Änderungsschneiderei im Weserpark
Inh. Farkrondeh Esmaieli",Ausbildungsverhältnis,2013,2014,3000,
Stiftung Alten Eichen von 1596,Mütter auf der Suche nach neuen Möglichkeiten,2010,2011,,"9998,21"
Stiftung Alten Eichen von 1596,Elternbildung Kopernikusquartier,2008,2009,,"4257,02"
Stiftung Alten Eichen von 1596,Deine Zukunft,2010,2011,,"9903,34"
Stiftung Alten Eichen von 1596,Deine Zukunft 2,2011,2012,"9999,22",
Stiftung Alten Eichen von 1596,"Bildungsförderung und berufliche Kompetenzerweiterung
für gering qualifizierte Mütter im Kopernikusquartier",2009,2010,,"5251,72"
Stiftung Alten Eichen von 1596,Mütter auf der Suche nach neuen Möglichkeiten 2,2011,2012,,"9985,48"
Sylvia Christina Händel,Das EINzigARTich_Buch-Identitätsbuch,2013,2013,"8515,5",
Tabak & Presse-Eck by Pascha,Ausbildungsverhältnis,2013,2014,4000,
TeeGschwendner Bremen,Ausbildungsverhältnis,2012,2013,4000,
"Therese Krause
Schneider-Meisterbetrieb",Berufsorientierung im Schneiderhandwerk,2013,2014,10000,
"Tierheilpraxis & Katzenpension
Stephanie Sikora",Ausbildungsverhältnis,2012,2013,3000,
time Fashion,Ausbildungsverhältnis,2013,2014,4000,
Tischlerei Bischoff e.K.,Ausbildungsverhältnis,2013,2014,5000,
TUS Huchting von 1904 e. V.,Übungsleiter/-innen Ausbildung,2009,2009,,7350
"Umut e. V.
c/o Ali Kozulcali",Perspektive für türkische Mädchen und Jungen,2008,2009,,9944
Universität Bremen,A-OPTI-QUA,2009,2011,"608282,08",
Universität Bremen,A-ABO für die Zukunft,2008,2011,"1440704,04",
Universität Bremen,"KitaLQ - Perspektiven für Kita-Fachkräfte in Leitung und
Anleitung",2012,2014,"185914,64",
Universität Bremen,"Assistenzrobotik; betriebsbezogene Weitterbildung für den
Robotikeinsatz in der Gesundheitswirtschaft und
Lebensnmittelindustrie",2013,2014,"284278,22",
Universität Bremen,NQVorE-Teil ITB,2013,2014,"99938,19",
Universität Bremen,"Zukunftsorientierte Kompetenzen für Fachkräfte aus
Kindertageseinrichtungen",2008,2010,"399917,68",
Universität Bremen,"Logistik und IT - Aufbau eines interdisziplinären
Weiterbildungsangebotes im Branchendialog",2012,2014,"876591,77",
Universität Bremen,Exzellenzinitiative,2008,2012,"2119705,19",
Universität Bremen,"Lernortkooperation zur Integration von Arbeitslosen An- und
Ungelernten in die Metallbranche (AU - Metall)",2008,2009,,"106920,08"
Universität Bremen,Bleib dran Bremen und Bremerhaven,2012,2014,"369500,49",
Universität Bremen,Exzellenzinitiative,2008,2012,"832256,79",
Universität Bremen,"A-Vermeidung von Ausbildungsabbrüchen in der Stadt
Bremerhaven",2009,2011,,"76709,67"
Universität Bremen,"Professionelle Serviceroboter und ihre Anwendungen in
KMUs",2013,2014,"94712,79",
Universität Bremen,FIT in MINT (bbQ),2010,2013,"924596,5",
Universität Bremen,"A-Vermeidung von Ausbildungsabbrüchen in der Stadt
Bremen 2009 - 2011",2009,2011,,"159995,81"
Universität Bremen,FIT in MINT (bQ),2010,2013,"1050652,49",
"Ute Bullert
Sprachkurse im Betrieb",Was muss eine/r wissen,2013,2014,10000,
"Ute Bullert
Sprachkurse im Betrieb",Werkstattorientierter Unterricht,2013,2014,3000,
"Ute Bullert
Sprachkurse im Betrieb",Arbeitsalltag - Mut zum Sprechen,2012,2013,,4670
"Ute Bullert
Sprachkurse im Betrieb","Verstehen ist gut , sprechen ist besser",2013,2014,5000,
"Ute Bullert
Sprachkurse im Betrieb",Arbeit und Umwelt,2014,2014,8000,
"Ute Bullert
Sprachkurse im Betrieb","Wer mitreden kann ist klar im Vorteil, Berufssprache &
Bewerbungstraining",2013,2013,10000,
"Ute Bullert
Sprachkurse im Betrieb",Grammatik als Werkzeug - Werkzeuge mit Grammatik,2012,2012,,3000
"Verbund Bremer Kindergruppen
""zusammen groß werden""  e.V.",Familiennetzwerk und offene Beratung,2008,2010,,"323292,61"
Verein Bremische Straffälligenbetreuung,Soziale Arbeit mit Partnerinnen von Inhaftierten,2008,2009,,"9948,63"
Verein Bremische Straffälligenbetreuung,"Beratung und Förderung sozialer Kompetenzen bei Frauen
von Inhaftierten",2013,2014,"9993,07",
Verein Bremische Straffälligenbetreuung,Gesundheitsförderung für inhaftierte Frauen,2012,2013,,"7339,91"
Verein Bremische Straffälligenbetreuung,Gesundheitliche Förderung für inhaftierte Frauen,2013,2014,8243,
Verein Bremische Straffälligenbetreuung,Selbsthilfeförderung bei Frauen von Inhaftierten,2009,2010,,10000
Verein Bremische Straffälligenbetreuung,"Aufsuchende und begleitende Hilfen für Frauen von
Inhaftierten",2010,2011,,"9997,23"
Verein Bremische Straffälligenbetreuung,"Unterstützung der Verselbständigung von Frauen
Inhaftierter",2012,2012,,"9827,49"
Verein für Innere Mission in Bremen,Obdach-Lotse,2013,2013,"9324,92",
Verein für Innere Mission in Bremen,Kontakt- und Sprechstundenangebot Lobbendorfer Mühle,2011,2012,,"8528,44"
Verein für Innere Mission in Bremen,"Kontakt- und Sprechstundenangebot ""Lobbendorfer Mühle""",2012,2013,10000,
Verein für Innere Mission in Bremen,"Kontakt- und Sprechstundenangebot ""Lobbendorfer Mühle""",2013,2014,10000,
Verein für Recycling u. Umweltschutz Bremen-West e.V.,MiLo VfR FAV,2013,2013,1015,
Verein für Recycling u. Umweltschutz Bremen-West e.V.,"Bremen produktiv-integrativ Verein für Recycling /
Recycling-Börsen Bremen",2008,2010,"1105596,68",
Verein für Recycling u. Umweltschutz Bremen-West e.V.,"Injobs-ESF Verein für Recycling und Umweltschutz U65T11
Recycling-Börsen, geförderte Beschäftigung",2011,2011,109368,
Verein Nachbarschaftshaus Bremen e.V.,PC-Qualifizierungskurs für Frauen,2008,2009,,"2266,23"
"Verein zur Förderung akzeptierter Jugendarbeit e.V.
Vaja",Integrationsprojekt für Jugendliche in Arbergen / Mahndorf,2008,2009,,"9225,73"
"Verein zur Förderung akzeptierter Jugendarbeit e.V.
Vaja",Zukunft sä(eh)en,2009,2010,,"8794,42"
"Verein zur Förderung akzeptierter Jugendarbeit e.V.
Vaja",Integrationsprojekt für Jugendliche in Arsten-Nord,2008,2009,,"8532,91"
"Verein zur Förderung akzeptierter Jugendarbeit e.V.
Vaja",Übergang Schule/Beruf im Kopernikusquartier,2009,2010,,"8832,94"
"Verein zur Förderung der  Gesundheit von Frauen und
Kindern e.V.: Frauengesundheitszentrum",Fit für den Job!,2008,2009,,"9505,79"
Vodafone Shop Bahnhofstr.,Ausbildungsverhältnis,2013,2014,4000,
"Vodafone Shop Roland-Center, Ürer Mobilfunk GmbH",Ausbildungaverhältnis,2013,2014,4000,
W. Ludolph GmbH & Co.KG,Ausbildungsverhältnis,2012,2013,5000,
W. Ludolph GmbH & Co.KG,Ausbildungsverhältnis,2012,2013,5000,
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg",Gestaltung des sozialen Umfeldes,2009,2009,,"8127,5"
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg","MOP Gröpelingen_Modelprojekt zur
Beschäftigungsförderung für Personen mit
Migrationshintergrund;",2013,2014,"664464,87",
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg","FOR. SVB.O Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg, ""Wohnumfeld"",
geförderte Beschäftigung ab 04/2012",2012,2014,"37096,26",
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg",MiLo WaBeQ FAV,2012,2014,"5432,62",
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg","Fitmachen für den Arbeitsmarkt III- Alltagsbewältigung und
Integration",2010,2010,,"3879,97"
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg","SVB.O. Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg, ""Wohnumfeld"",
geförderte Beschäftigung",2011,2012,"352691,97",
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg",Fitmachen für den Arbeitsmarkt II- Alltagsbewältigung,2008,2009,,"5646,4"
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg","A-""Deine Chance"" -",2009,2011,"557114,35",
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg",Mietertreff,2009,2010,,"8769,68"
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg","Injobs-ESF WaBeQ U65T11 Sprache, geförderte
Beschäftigung",2011,2011,,"21153,96"
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg","Injobs-ESF WaBeQ U65SI11 GTH, geförderte
Beschäftigung",2011,2011,,"14959,83"
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg","Injobs-ESF WaBeQ U65T11 Netzwerk GTH, geförderte
Beschäftigung",2011,2011,,"176920,45"
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg","Bremen produktiv-integrativ WaBeQ /
Wohnumfeldverbesserungsmaßnahmen",2008,2010,,"980174,54"
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg",Bremen produktiv-integrativ WaBeQ / Bike Points,2008,2010,,"835086,26"
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg","Bremen produktiv-integrativ WaBeQ /
Bauteilewiederverwendung",2008,2010,,"130838,84"
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg",JoKi - Job und Kind - beides gelingt,2013,2014,145000,
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg",Are you ready!,2012,2013,"18958,65",
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg",Förderung junger Mütter,2009,2010,,"2181,48"
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg","SVB.O. Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg, ""Bike Points"", geförderte
Beschäftigung",2011,2011,157248,
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg",Nähwerkstatt,2011,2012,,"9954,57"
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg","Mietertreff - Förderung der Selbsthilfekompetenzen von
Bewohnern",2008,2009,,"8849,28"
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg",Internationaler Frauentreffpunkt,2009,2010,,"5367,34"
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg",GAfA West,2011,2012,70000,
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg","Frauennetzwerk zur Unterstützung der Integration von
Migrantinnen",2008,2009,,"9166,57"
"WABEQ - Waller Beschäftigungs- und
Qualifizierungsgesellschaft mbHg",Herbstcamp 2011,2011,2011,,"26291,06"
Wassersportverein Hemelingen e. V.,Segeln in der Ganztagsschule,2011,2012,7000,
Wassersportverein Hemelingen e. V.,Segel-Projekt,2013,2014,6250,
Wassersportverein Hemelingen e. V.,"Segeln- ein besonderes Lern- und Freizeitangebot für die
Ganztagsschule mit Sportlichem Profil",2010,2011,,"6102,54"
Wassersportverein Hemelingen e. V.,Segel-Projekt,2012,2013,7000,
"Wilde Bühne e. V.
Soziokulturelles Forum für ehemals
drogenabhängige junge Menschen","Resozialisierung durch Theaterarbeit von Menschen mit
ehemals Drogenabhängigen",2012,2013,10000,
"Wilde Bühne e. V.
Soziokulturelles Forum für ehemals
drogenabhängige junge Menschen",Resozialisierung durch Theaterarbeit,2011,2012,,10000
"Wilde Bühne e. V.
Soziokulturelles Forum für ehemals
drogenabhängige junge Menschen",Theaterstück mit ehemaligen Drogenabhängigen,2009,2010,,10000
"Wilde Bühne e. V.
Soziokulturelles Forum für ehemals
drogenabhängige junge Menschen","Rückfallprophylaxe durch Theater mit ehemaligen
Drogenabhänigen",2010,2011,,10000
Wir in Tenever e. V.,"Bildung und Qualifizierung der Jugendlichen mit
Sportangebot",2010,2010,,"3422,08"
"WISAG Gebäudereinigung Nord GmbH & Co.KG, NL
Bremen",Ausbildungsverhältnis,2012,2013,4000,
"WiSoAk - Wirtschafts- und Sozialakademie
der Arbeitnehmerkammer Bremen gGmbH",ikö-Bremen,2008,2010,,"261834,91"
"WiSoAk - Wirtschafts- und Sozialakademie
der Arbeitnehmerkammer Bremen gGmbH","QuaFiMa - Qualifizierung von Frauen in betrieblichen
Funktionen und Management",2011,2014,"374519,46",
"WiSoAk - Wirtschafts- und Sozialakademie
der Arbeitnehmerkammer Bremen gGmbH",QuaPa,2011,2013,"179975,84",
"WiSoAk - Wirtschafts- und Sozialakademie
der Arbeitnehmerkammer Bremen gGmbH",Online-Service- und Media-Center,2008,2010,,"623259,32"
"WiSoAk - Wirtschafts- und Sozialakademie
der Arbeitnehmerkammer Bremen gGmbH",ProgeGe,2012,2014,"371645,92",
"WiSoAk - Wirtschafts- und Sozialakademie
der Arbeitnehmerkammer Bremen gGmbH",ikö-bremen II,2010,2013,"407023,98",
"WiSoAk - Wirtschafts- und Sozialakademie
der Arbeitnehmerkammer Bremen gGmbH",KomQua-Beschäftigte,2008,2011,"555430,51",
"WiSoAk - Wirtschafts- und Sozialakademie
der Arbeitnehmerkammer Bremen gGmbH",KomQua-Arbeitslose,2008,2011,"2426353,96",
"WiSoAk - Wirtschafts- und Sozialakademie
der Arbeitnehmerkammer Bremen gGmbH",PfleKomp-Beschäftigte,2008,2010,"187620,78",
"WiSoAk - Wirtschafts- und Sozialakademie
der Arbeitnehmerkammer Bremen gGmbH","B-""Schulverbund der Altenpflegeschulen in Bremen""",2008,2011,"815522,68",
"WiSoAk - Wirtschafts- und Sozialakademie
der Arbeitnehmerkammer Bremen gGmbH","GEHeim - Geprüfte/r verantwortliche/r Einrichtungs- und
Heimleiter/in in unterstützenden Wohnformen.",2011,2013,"349388,67",
"WiSoAk - Wirtschafts- und Sozialakademie
der Arbeitnehmerkammer Bremen gGmbH",IT-LogistikerIn,2011,2013,"429653,74",
Zaubernuss-Welt,Ausbildungsverhältnis,2012,2013,,3000
